# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/MG1655.fna" "-T" "16" "-a" "data/00ref/MG1655_LF82_RS00415.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam
b1296	NC_000913.3	1357802	1359187	-	1386	32.87	24.04	20.91	31.71	23.14	34.99	40.28	23.41	63.86	38.42	48.14	71.34
b4742	NC_000913.3	1359177	1359341	-	165	14.28	4.22	7.53	13.39	3.56	20.67	6.19	2.61	4.78	4.04	8.67	47.77
b1297	NC_000913.3	1359490	1360908	-	1419	37.44	21.29	31.48	59.83	21.73	80.83	40.02	25.48	87.42	54.42	32.60	106.06
b1298	NC_000913.3	1361120	1361884	+	765	8.74	8.78	8.49	15.54	6.33	19.34	13.22	7.79	15.83	13.88	12.47	33.41
b1299	NC_000913.3	1361911	1362468	+	558	35.95	9.78	26.00	32.60	26.26	26.93	28.24	30.76	26.98	27.27	38.91	42.16
b1300	NC_000913.3	1362743	1364230	+	1488	22.89	15.70	13.28	9.01	17.64	12.86	17.26	19.27	28.04	18.47	27.12	54.14
b1301	NC_000913.3	1364232	1365512	+	1281	10.25	5.21	4.11	12.43	8.94	7.02	7.66	7.08	8.10	8.30	6.79	19.01
b1302	NC_000913.3	1365550	1366815	+	1266	12.65	9.01	9.82	9.86	15.92	7.60	9.91	15.72	12.16	18.66	17.15	25.13
b1303	NC_000913.3	1366935	1367912	-	978	15.63	7.61	9.66	24.65	16.08	24.64	25.20	11.16	27.48	22.35	14.83	47.42
b1304	NC_000913.3	1368079	1368747	+	669	102.17	57.23	88.82	66.58	77.65	112.35	151.16	119	121.77	123.39	132.57	126.37
b1305	NC_000913.3	1368801	1369025	+	225	10.81	10.35	14.25	18.05	9.50	9	13.17	13.50	10.52	15.41	15.33	20.03
b1306	NC_000913.3	1369025	1369384	+	360	14.02	3.75	13.92	13.40	8.25	9.68	20.95	12.96	15.88	11.75	16.27	25.45
b1307	NC_000913.3	1369393	1369614	+	222	5.10	5	3.17	5.50	5.65	6.50	10.87	5.48	12.86	8.43	7.01	11.18
b1308	NC_000913.3	1369689	1370003	+	315	104.46	34.58	75.10	68.20	95.13	75	86.32	122.45	76.50	83.46	174.49	98.44
b1309	NC_000913.3	1370216	1371895	+	1680	5.10	2.07	5.35	7.01	9.31	9.07	17.58	9.54	11.63	17.76	20.88	11.59
b1310	NC_000913.3	1371909	1373201	+	1293	4.98	4.21	3.56	7.44	11.39	6.70	14.38	6.76	8.78	7.31	10.57	10.77
b1311	NC_000913.3	1373222	1374103	+	882	4.10	1.07	2.77	2.33	1.22	2.62	3.75	2.24	3.35	4.56	4.64	5.17
b1312	NC_000913.3	1374090	1374932	+	843	3.42	1.23	1.20	1.37	1.47	2.17	3.95	1.50	1.77	2.92	4.10	4.08
b1313	NC_000913.3	1374963	1376015	+	1053	8.01	2.75	3.00	3.20	4.64	0.83	4.83	3.76	8.28	10.45	6.83	9.29
b1314	NC_000913.3	1376034	1376822	+	789	32.23	72.42	36.83	22.52	30.37	37.60	41.99	31.18	38.80	25.79	36.41	138.61
b1315	NC_000913.3	1376832	1377887	+	1056	4.79	1.25	2.66	10.50	5.32	8.48	5.40	2.78	4.90	5.14	14.12	10.10
b1316	NC_000913.3	1377884	1380151	+	2268	11.71	3.35	3.32	11.09	8.00	13.69	9.27	7.58	10.43	8.04	9.71	31.61
b1317	NC_000913.3	1380148	1380807	+	660	2	1.10	0.06	4.24	0.78	3.71	2.00	1.02	3.00	0.61	2.00	6.52
b1318	NC_000913.3	1380821	1381789	+	969	8.08	1.04	6.92	3.23	8.84	5.33	5.90	2.35	4.37	3.47	9.86	4.57
b4524	NC_000913.3	1381789	1381902	+	114	1	0	0	0	3	1.43	0	4.50	2.50	1.33	0	1
b1319	NC_000913.3	1381947	1382852	+	906	4.98	2.50	1.39	3.92	5.47	3.93	3.54	1.86	3.39	4.76	6.59	6.43
b1320	NC_000913.3	1382963	1383961	-	999	105.43	92.23	104.74	90.26	91.77	95.35	78.12	89.64	85.49	101.00	152.67	166.82
b1321	NC_000913.3	1384117	1385514	+	1398	35.17	26.95	33.90	69.37	80.64	57.77	75.64	65.80	64.77	80.84	102.96	104.55
b1322	NC_000913.3	1385511	1386572	+	1062	40.99	22.32	36.65	41.34	56.15	40.03	49.76	59.44	41.81	58.42	75.06	59.94
b1323	NC_000913.3	1386720	1388261	+	1542	163.05	93.92	156.44	333.84	161.44	327.84	403.41	177.97	386.10	491.69	246.00	453.49
b1324	NC_000913.3	1388305	1388811	-	507	723.97	283.49	535.98	1188.96	741.00	1374.35	1553.07	660.29	1589.72	1782.10	1314.18	2486.34
b1325	NC_000913.3	1388930	1389895	+	966	101.24	52.45	66.21	133.21	56.27	130.12	75.41	56.15	72.18	71.26	71.11	195.52
b1326	NC_000913.3	1389870	1390598	-	729	18	12.82	6.57	43.83	18.18	47.50	30.42	20.03	29.97	34.92	12.17	60.47
b4525	NC_000913.3	1390680	1390862	-	183	0	0	0.50	1.12	1.95	4.46	1.45	1.50	1.38	1.25	7	8.56
b4673	NC_000913.3	1390868	1390933	-	66	1	0	1	0	0	0	0	0.12	0.12	0	0.50	0.38
b1327	NC_000913.3	1390933	1391853	-	921	11.36	6.56	6.63	6.85	6.93	4.49	4.47	7.47	9.91	4.72	11.69	15.61
b1328	NC_000913.3	1391991	1392890	+	900	36.66	10.82	11.12	42.50	52.34	36.84	64.72	58.44	58.28	91.43	83.36	51.01
b1329	NC_000913.3	1393227	1394840	+	1614	157.97	95.18	149.73	233.19	165.32	255.16	249.33	211.31	251.66	264.48	313.09	320.71
b1330	NC_000913.3	1394891	1395922	-	1032	34.33	24.34	32.52	27.28	126.42	26.49	90.52	119.21	88.89	89.65	134.25	55.20
b1331	NC_000913.3	1396112	1397092	+	981	11.33	4.57	8.66	13.18	15.33	13.89	20.37	17.32	20.74	24.49	24.26	18.30
b1332	NC_000913.3	1397365	1397622	+	258	583.85	344.92	471.30	595.18	375.72	593.17	254.65	415	319.75	326.62	575.32	728.57
b1333	NC_000913.3	1397672	1398622	-	951	282.00	133.05	224.86	365.51	255.37	383.44	373.58	228.03	392.74	336.52	323.59	540.90
b1334	NC_000913.3	1398774	1399526	-	753	1135.69	586.36	890.73	1430.06	1142.41	1581.99	1938.67	1238.40	1916.44	1864.60	1708.22	2142.83
b1335	NC_000913.3	1399721	1400236	-	516	13.49	11.32	11.52	48.10	39.84	44.67	40.31	26.50	38.21	44.72	40.32	81.92
b1336	NC_000913.3	1400247	1401773	-	1527	9.47	8.25	5.85	22.79	9.12	18.18	14.39	7.82	13.45	14.87	9.37	21.79
b1337	NC_000913.3	1401810	1403255	-	1446	7.25	4.82	4.26	7.09	8.52	12.47	7.01	3.93	7.87	9.97	14.37	15.67
b1338	NC_000913.3	1403255	1404565	-	1311	8.38	9.89	8.42	6.22	6.97	6.98	14.26	1.80	7.62	10.41	13.39	12.14
b1339	NC_000913.3	1404741	1405649	+	909	6.77	2.33	6.56	17.45	8.83	27.15	11.20	5.39	8.94	17.40	18.96	23.46
b4426	NC_000913.3	1405658	1405751	-	94	320.62	225.67	212.43	511.76	334.32	909.22	526.40	466.91	516.28	680.69	609.49	363.09
b1340	NC_000913.3	1405979	1406542	+	564	73.35	41.12	49.05	27.45	92.87	29.40	67.86	96.27	48	56.42	132.71	32.53
b1341	NC_000913.3	1406563	1407795	-	1233	36.37	20.91	19.44	32.77	34.28	28.02	36.15	42.90	38.24	35.06	52.53	51.52
b4773	NC_000913.3	1407989	1408036	+	48	0	0	0	0	0.50	0	1	0.75	0	1	0	0
b1342	NC_000913.3	1408050	1409033	+	984	100.86	58.89	78.01	40.85	105.54	46.06	63.67	118.93	60.66	71.34	159.58	85.02
b4699	NC_000913.3	1409129	1409250	+	122	46.50	15.14	43	25.17	58.64	35.83	51	55.10	41.82	53.04	75.75	39.87
b4743	NC_000913.3	1409308	1409481	+	174	2.99	1.14	3.62	2.89	1.73	2.11	2.51	1.30	2.04	5.15	3.01	2.70
b1343	NC_000913.3	1409511	1410884	+	1374	117.54	73.75	148.61	168.09	54.27	184.89	90.91	69.54	89.05	96.59	73.83	266.86
b1344	NC_000913.3	1411013	1411948	-	936	200.02	116.03	151.87	298.70	192.25	283.49	468.70	196.25	378.58	416.90	269.06	404.59
b1345	NC_000913.3	1412000	1413235	-	1236	25.95	9.25	17.81	21.75	16.98	39.09	26.31	20.85	32.04	46.89	27.95	42.25
b1346	NC_000913.3	1413237	1413452	-	216	1	0	0	1.19	0	1.10	1.17	1	0.33	2.12	0	0.30
b1347	NC_000913.3	1413531	1413740	-	210	2.85	1	3.93	2.49	4.29	2.35	5.91	3.50	7.52	3.56	8.57	4.87
b4714	NC_000913.3	1413556	1413734	+	179	8.67	5.53	8.83	9.00	13.78	10.25	5.17	12.81	12.17	6.50	22.33	9.83
b1348	NC_000913.3	1413733	1413927	-	195	2.20	0	0.83	1	0	0.33	3.48	0.38	1.83	1.57	1.20	1
b1349	NC_000913.3	1413984	1414793	-	810	8.65	7.32	5.67	8.86	11.89	7.64	16.54	10.60	13.16	14.99	12.39	16.66
b1350	NC_000913.3	1414786	1417386	-	2601	21.51	9.79	17.76	11.12	21.31	13.54	30.57	18.72	25.77	26.77	30.09	20.91
b1351	NC_000913.3	1417488	1417763	-	276	3.50	1.59	2.17	2.89	4.99	5.50	4.51	3.65	3.35	6.91	11.84	2.29
b4526	NC_000913.3	1417838	1418008	-	171	0.72	1.08	0.96	0.50	1.35	1	2.13	3	0.10	0.58	1.77	0.62
b1352	NC_000913.3	1418008	1418229	-	222	1.00	0.45	0.70	0	1.33	1.60	2.53	1.64	2.37	3	2	1.28
b4833	NC_000913.3	1418405	1418502	-	98	8.50	0.50	3.05	5.36	3.50	2.33	1.25	3.52	1.58	2.20	5.08	5.28
b1353	NC_000913.3	1418671	1419159	+	489	0.30	0.24	0.58	2.56	1.75	3.12	5.73	3.24	13.33	4.91	2.24	2.28
b4527	NC_000913.3	1419156	1419311	-	156	5.50	5.50	5.50	2.12	21.64	7.83	19.12	14.50	32.00	15.14	14.22	7.12
b1355	NC_000913.3	1419322	1419456	-	135	4.64	2.27	3.64	4	12.48	2.12	16.89	8.64	8.87	13.25	10.39	8.96
b1356	NC_000913.3	1419765	1420241	-	477	117.83	83.15	106.13	177.60	244.76	202.72	308.47	235.32	304.78	290.23	355.52	215.57
b1357	NC_000913.3	1420365	1420661	+	297	2.60	0.50	1	1.42	1	5.42	0.90	2.11	0.83	1.38	3.57	1.37
b1358	NC_000913.3	1420684	1421106	+	423	3.29	2.67	2.15	3.47	4.70	2.33	2.82	2.70	5.08	1.12	7.79	2.09
b1359	NC_000913.3	1421119	1421976	+	858	9.21	3.71	5.65	13.77	9.88	6.13	13.59	13.76	7.96	6.75	11.55	7.17
b1360	NC_000913.3	1421983	1422729	+	747	4.40	3.33	1.11	4.79	2.52	3.83	4.96	1.89	6.08	4.44	5.46	4.41
b1361	NC_000913.3	1422752	1423312	+	561	7.89	3.47	4.46	7.50	7.83	4.10	7.22	7.69	5.28	5.24	9.24	8.87
b1362	NC_000913.3	1423345	1423644	+	300	1.80	0.75	1.62	1.97	0.58	2.67	1.33	2.73	4.17	2.52	1.92	2.01
b4528	NC_000913.3	1423400	1423585	+	186	0.25	0.25	1	1.31	0	1.50	1.21	1.56	1.17	0.92	1.42	1.76
b1363	NC_000913.3	1423782	1425239	+	1458	23.00	28.40	12.20	34.16	56.45	34.67	66.27	74.62	65.42	68.91	82.41	44.92
b1365	NC_000913.3	1425377	1425640	+	264	0	2.56	2.25	0.18	4.75	1.95	4	12.50	7.50	5.33	8.12	0.88
b1366	NC_000913.3	1425621	1425980	+	360	0.17	0.25	2.25	1.41	8.90	4.32	2.25	6.12	11.58	11.63	8.50	4.81
b1368	NC_000913.3	1426454	1427482	+	1029	13.51	1.62	8.58	6.25	10	8.37	17.92	5.92	16.35	13.96	18.38	14.03
b4570	NC_000913.3	1427389	1428984	+	1596	5.16	1.83	6.50	5.60	6.50	7.09	9.19	6.36	8.12	3.07	13.93	15.75
b1370	NC_000913.3	1427746	1428726	-	981	6.33	3.70	4.71	10.58	11.56	12.62	15.65	11.05	20.04	24.13	12.31	13.39
b1372	NC_000913.3	1429049	1432411	+	3363	20.66	15.39	17.81	15.92	16.84	14.61	24.41	29.18	21.93	16.98	40.76	24.10
b1373	NC_000913.3	1432411	1432986	+	576	6.27	4.97	3.66	4.20	5.42	3.01	4.19	6.67	6.64	10.80	6.63	3.88
b1374	NC_000913.3	1433084	1433674	-	591	9.75	6.64	11.37	25.36	10.92	24.88	11.84	13.29	9.50	12.86	18.37	28.60
b1375	NC_000913.3	1433991	1434224	-	234	20.09	9.67	10.69	48.38	49.25	54.70	65.16	33.31	72.33	49.73	45.99	66.30
b4744	NC_000913.3	1434293	1434406	-	114	15.50	6.50	10.50	49.11	33	54.20	93.75	28.50	81.83	73.33	60.95	89.50
b4638	NC_000913.3	1434958	1435008	-	51	0.50	0	2.50	3.50	6	0.50	2	1	2.50	4.24	2	5.83
b1376	NC_000913.3	1435185	1435619	-	435	18.92	9.12	17.35	52.27	16.25	35.49	23	19.85	21.23	21.81	36.38	79
b1377	NC_000913.3	1435760	1436893	-	1134	5.68	1.60	9.02	8.33	15.88	9.70	17.14	16.31	17.05	13.82	27.75	11.11
b4427	NC_000913.3	1437121	1437231	+	111	9.32	1	6.67	1.33	2.83	15.02	7.82	1	6.07	7.62	9.48	13.09
b1378	NC_000913.3	1437260	1440784	-	3525	199.07	134.61	142.71	201.74	404.56	220.60	476.00	444.74	475.92	503.08	582.07	301.68
b4529	NC_000913.3	1441058	1441324	+	267	34.75	32	27	38.64	55.74	20.17	22.50	44.12	15.36	25.50	79	34.40
b1379	NC_000913.3	1441321	1441743	-	423	15.36	6.13	12.52	32.30	68.34	55.10	156.21	76.50	116.33	143.17	101.60	58.10
b1380	NC_000913.3	1441854	1442843	-	990	109.39	46.92	87.59	256.72	222.50	251.58	413.02	251.75	395.87	428.34	318.14	394.27
b1381	NC_000913.3	1443051	1445690	+	2640	62.61	33.13	52.76	112.00	105.49	103.24	185.87	123.39	176.82	173.23	174.50	144.69
b1382	NC_000913.3	1445687	1445872	+	186	7.83	1.50	2.62	10.50	7.83	13.17	14.75	14.20	24.94	19.82	23.75	18.12
b1383	NC_000913.3	1445880	1446206	+	327	8.86	6.50	4.50	7.50	16.13	7	17.50	12.58	17.22	28.77	22	19.10
b1384	NC_000913.3	1446378	1447283	-	906	2.70	2.70	0.84	9.11	3.47	16.52	8.57	3.96	6.95	12.43	4.18	5.69
b1385	NC_000913.3	1447519	1449018	+	1500	14.94	5.53	17.85	19.54	25.47	30.81	18.87	21.90	21.67	33.34	28.85	28.48
b1386	NC_000913.3	1449076	1451349	-	2274	17.65	7.92	24.03	16.82	21.90	13.06	34.06	23.57	20.25	26.15	26.90	25.64
b1387	NC_000913.3	1451597	1453642	-	2046	32.34	14.43	11.21	25.62	22.01	29.50	22.76	19.34	24.20	40.46	36.33	35.39
b1388	NC_000913.3	1453927	1454856	+	930	3.75	3.09	0.62	0.06	2.43	1.62	6.00	0.72	3.62	3.89	7.29	5.68
b1389	NC_000913.3	1454868	1455155	+	288	0.64	0.08	0.83	3.17	2.03	0.14	0.69	1.81	2.03	1.71	1.98	0.77
b1390	NC_000913.3	1455164	1455910	+	747	1.78	1.33	0.64	1.52	1.49	0.77	5.46	0	7.48	2.87	2.23	3.37
b1391	NC_000913.3	1455925	1456422	+	498	1.87	1.35	2.05	1	1.58	0.29	3.64	2.50	1.35	0.92	1.29	2.45
b1392	NC_000913.3	1456430	1457500	+	1071	4.86	2.25	2.56	2.87	2.42	4.13	4.25	8.91	7.99	5.21	9.23	12.94
b1393	NC_000913.3	1457497	1458264	+	768	4.54	2.07	2.37	1.35	2.20	2.97	4.09	3.52	4.24	2.62	2.40	4.79
b1394	NC_000913.3	1458264	1459052	+	789	3.68	0.53	1.94	3.50	1.52	3.88	3.25	4.46	2.47	4.95	3.16	6.92
b1395	NC_000913.3	1459054	1460481	+	1428	3.97	5.68	2.83	4.50	5.62	4.66	6.62	5.60	10.37	9.98	12.71	6.98
b1396	NC_000913.3	1460471	1460893	+	423	3.53	1.06	2	0	0	1.50	5.00	0.67	0	1.77	4.28	1.29
b1397	NC_000913.3	1460893	1462098	+	1206	6.50	3.44	5.70	15.91	8.10	13.77	13.84	13.92	6.83	11.99	12.11	25.98
b1398	NC_000913.3	1462125	1463438	+	1314	19.27	7.61	9.86	21.31	19.16	18.17	11.13	12.39	14.83	24.91	22.52	44.56
b1399	NC_000913.3	1463539	1464489	+	951	8.50	5.88	13.50	48.06	20.55	30.63	32.56	25.56	59.37	45.39	39.78	64.54
b1400	NC_000913.3	1464471	1465061	+	591	30.17	17.37	30.27	33.51	20.71	27.72	41.73	29.43	33.79	35.75	40.35	42.85
b4674	NC_000913.3	1465165	1465230	-	66	0	0	0	0	0	1.32	0	0	0	0	0.17	0.25
b4492	NC_000913.3	1465392	1474013	+	8622	158.61	93.94	145.80	150.15	296.66	201.34	351.05	312.81	353.04	341.42	449.01	299.69
b1402	NC_000913.3	1467921	1468826	-	906	33.57	18.46	21.14	31.88	38.40	36.43	52.70	40.95	40.40	51.31	52.84	45.69
b1403	NC_000913.3	1468784	1469149	-	366	9.68	5.63	5.87	8.42	11.65	11.92	14.18	10.18	14.63	17.34	14.93	14.15
b1404	NC_000913.3	1469358	1470509	+	1152	12.82	9.89	10.43	23.41	22.13	24.60	25.47	20.66	32.83	29.87	30.03	31.40
b1406	NC_000913.3	1474221	1475081	+	861	10.06	6.16	13.08	13.05	6.62	10.63	9.06	9.08	28.48	11.61	17.17	23.09
b1407	NC_000913.3	1475144	1477450	+	2307	15.38	7.98	14.12	10.00	12.59	10.92	21.70	17.17	17.93	20.79	27.31	24.64
b1408	NC_000913.3	1477621	1478226	+	606	1.14	0.50	1.25	2.70	0.98	0.42	1.73	1.85	3.76	2.57	5.62	3.79
b1409	NC_000913.3	1478226	1479122	+	897	4.93	0.75	1.39	1.66	2	2.63	1.19	3.25	3.26	6.11	2.71	2.92
b1410	NC_000913.3	1479138	1480895	+	1758	20.37	4.72	15.69	6.37	16.00	12.73	22.22	19.00	18.42	14.54	35.40	13.60
b1411	NC_000913.3	1480909	1482201	+	1293	16.71	4.79	6.83	11.52	18.21	11.51	19.38	11.58	11.16	15.28	20.50	11.33
b1412	NC_000913.3	1482255	1482860	-	606	55.27	26.17	47.46	45.86	47.54	51.25	32.34	45.35	39.92	33.19	79.67	79.23
b1413	NC_000913.3	1483061	1486963	+	3903	324.03	204.84	264.94	466.24	376.18	478.42	622.96	368.84	597.69	623.33	548.60	744.47
b1414	NC_000913.3	1487235	1488035	+	801	85.41	33.14	55.15	46.29	114.72	46.86	81.43	140.50	86.21	79.92	162.44	74.77
b1415	NC_000913.3	1488232	1489671	+	1440	31.49	11.98	29.22	152.77	40.41	157.76	34.65	49.15	50.74	50.02	83.06	248.87
b4493	NC_000913.3	1489713	1490713	-	1001	626.83	331.69	476.19	492.09	277.01	527.94	289.49	299.09	278.07	314.06	442.18	783.80
b1418	NC_000913.3	1490902	1491432	+	531	106.25	68.17	69.33	113.12	107.50	91.05	92.20	113.08	99.50	107.72	145.87	163.92
b4597	NC_000913.3	1491442	1491506	-	65	167.82	56.75	76.66	105.48	137.31	81.54	144.41	164.37	158.19	205.79	244.12	113.44
b1419	NC_000913.3	1491677	1491850	+	174	20.50	18.98	26.91	21.31	21.32	24.68	28.00	21.60	21.92	30.33	36.06	47.98
b4774	NC_000913.3	1491876	1491944	+	69	15.17	16.18	18	22.83	6.48	20.08	11.06	10.33	8.50	14	17.50	34
b4428	NC_000913.3	1491922	1492071	-	150	5.12	6.17	7.60	19.50	7.50	17.50	10	7.04	12.73	18	20.10	11.66
b1420	NC_000913.3	1491962	1492129	-	168	3.12	2.17	3.75	8.50	8.67	5.70	5.50	2.04	13.23	13.33	4	13.63
b4429	NC_000913.3	1492119	1492175	+	57	3161.51	1946.27	3143.21	2803.87	1566.22	2461.75	1191.50	1658.78	1003.20	1277.53	2502.84	3176.42
b1421	NC_000913.3	1492470	1494110	+	1641	42.58	19.52	29.80	179.56	60.68	198.53	63.64	60.00	80.74	46.27	87.80	295.21
b1422	NC_000913.3	1494148	1495071	-	924	76.72	42.90	58.19	113.14	34.78	155.12	47.17	30.76	34.50	36.90	47.40	181.51
b1423	NC_000913.3	1495288	1496631	+	1344	12.08	2.92	6.72	15.50	10.43	8.35	8.34	9.72	9.42	11.35	16.34	15.16
b1424	NC_000913.3	1496856	1498511	+	1656	261.28	134.41	192.98	246.71	210.91	279.92	209.18	193.77	230.66	232.31	355.26	384.03
b1426	NC_000913.3	1498651	1498875	+	225	32.39	25.20	15.33	14.33	27.39	28.25	36.96	21.25	31.70	34.07	33.15	35.00
b1427	NC_000913.3	1498938	1499477	+	540	11.75	3.25	28.10	18.59	29.33	24.62	30.64	26.08	35.90	38.35	45.06	48.65
b1428	NC_000913.3	1499469	1500449	-	981	2.32	3.29	3.39	4.87	14.66	3.18	15.50	7.74	15.76	12.87	12.16	10.07
b1429	NC_000913.3	1500573	1501565	+	993	29.92	13.50	21.57	31	22.25	33.55	32.42	23.14	17.57	26.62	37.08	41.14
b1430	NC_000913.3	1501562	1502155	+	594	84.12	50.67	79.99	92.60	65.08	70.25	72.41	46.50	63.27	56.50	79.38	124.31
b1431	NC_000913.3	1502457	1503125	+	669	51.93	26.72	41.81	59.60	51.50	84.38	71.13	54.07	63.91	70.70	87.97	100.09
b4578	NC_000913.3	1503218	1503649	-	432	2.14	0.69	2.00	1.48	1.69	2.25	2.47	1.70	1.71	3.10	6.75	5.19
b1432	NC_000913.3	1503657	1504865	+	1209	291.29	131.31	225.54	108.50	316.81	146.72	148.79	326.17	139.87	139.92	455.54	188.96
b1433	NC_000913.3	1504905	1506080	-	1176	5.93	2.57	6.15	3.58	9.48	11.58	10.20	6.91	14.32	15.40	22.33	20.02
b1434	NC_000913.3	1506172	1506708	+	537	19.44	9.48	8.92	17.78	25.59	14.85	38.30	20.43	35.20	33.56	26.34	21.45
b1435	NC_000913.3	1506781	1508742	+	1962	450.26	197.64	354.86	183.82	698.68	198.68	453.65	751.23	401.57	488.22	1081.77	282.84
b1436	NC_000913.3	1508834	1509064	-	231	3.85	8.33	3.65	12.50	5.45	9.36	4.36	5.22	4.64	8.07	4.62	14.05
b4532	NC_000913.3	1509286	1509462	+	177	9.08	2.20	8.20	12	10.28	16.67	5	15.45	11.28	13.83	16.25	26.17
b1438	NC_000913.3	1509508	1509924	+	417	11.66	7.72	5.60	11.65	23.40	16.45	22.10	16.21	17.69	15.13	24.31	24.73
b1439	NC_000913.3	1510003	1511409	+	1407	74.89	48.22	57.07	91.09	82.06	98.14	111.07	88.80	119.24	114.28	111.45	147.70
b1440	NC_000913.3	1511654	1512799	+	1146	7.09	9.50	16.02	14.17	18.04	14.33	15.25	23.14	26.15	20.29	26.40	25.62
b1441	NC_000913.3	1512817	1513830	+	1014	13.29	7.94	14.19	11.07	10.89	10.04	9.30	8.04	114.01	9.12	14.23	24.04
b1442	NC_000913.3	1513831	1514772	+	942	5.22	0	1.02	1.76	4.78	7.63	5.71	7.83	5.40	8.12	6.08	6.34
b1443	NC_000913.3	1514762	1515556	+	795	5.25	1.50	3.17	5.90	1.57	1.25	3.80	5.93	3.02	1.92	3.34	3.65
b1444	NC_000913.3	1515578	1517002	+	1425	13.96	4.79	4.22	15.20	11.17	9.36	15.02	15.30	16.28	5.08	11.58	25.05
b4598	NC_000913.3	1517099	1517194	-	96	4	8	1.12	13	5	10	6	2	11	9.50	10	20.69
b1445	NC_000913.3	1517389	1517562	+	174	20	10.25	12.67	16.08	11.50	13.50	10.07	12.12	16.10	11.33	12.13	23.05
b1446	NC_000913.3	1517648	1517881	+	234	901.36	493.55	630.62	467.43	855.75	489.67	555.62	942.03	642.58	692.71	1315.83	582.55
b1447	NC_000913.3	1517882	1518331	-	450	17.82	5.07	9.50	43.50	11	23.83	15	11.37	14.17	15.60	18.53	55.62
b1448	NC_000913.3	1518328	1518846	-	519	12.40	8.72	16.25	40.50	15.25	42.97	13.50	21.60	33.33	25.69	20.66	63.95
b1449	NC_000913.3	1519027	1520064	+	1038	12.60	5.97	10.60	23.38	22.21	22.70	16.31	16.30	11.57	10.61	19.06	30.98
b1450	NC_000913.3	1520262	1520927	+	666	5.48	7.97	9.14	8.22	15.94	10.14	10.83	11.88	11.78	9.90	15.45	13.67
b1451	NC_000913.3	1520963	1523065	-	2103	155.52	82.83	158.68	199.00	94.90	205.72	160.89	149.21	195.99	248.81	175.83	302.23
b1452	NC_000913.3	1523307	1524368	+	1062	489.66	258.17	364.51	233.50	136.01	238.89	135.95	136.20	140.52	134.52	188.94	338.36
b1453	NC_000913.3	1524481	1525980	-	1500	157.15	63.85	144.83	59.44	183.04	82.58	148.10	175.52	137.07	150.02	249.93	81.51
b1454	NC_000913.3	1526247	1526864	+	618	6.07	2.25	5.50	7.13	3.57	4.33	4.57	7.26	3.63	5.67	7.83	8
b1455	NC_000913.3	1526940	1527152	+	213	0.12	0.50	0	0	0.37	0.25	0.17	1	0.17	1.33	0	0
b1456	NC_000913.3	1527890	1529938	+	2049	12.36	9.57	12.43	16.99	20.89	12.81	18.82	26.03	31.37	18.40	33.00	22.87
b1457	NC_000913.3	1529922	1530404	+	483	3.25	1.50	3.31	12.16	6.74	4.24	3.41	5.23	4.64	6.56	4.10	12.17
b4745	NC_000913.3	1530319	1530504	-	186	3.74	7.77	5.98	10.81	4.25	8.00	7.00	7.33	5.08	5.17	14.04	7.79
b1459	NC_000913.3	1530586	1531639	+	1054	6.14	4.02	3.58	6.74	9.59	13.53	8.66	6.46	11.03	14.64	12.08	8.95
b1460	NC_000913.3	1531816	1532952	+	1137	6.77	1.89	3.65	5.48	3.77	6.32	6.83	1.88	9.92	8.10	9.10	6.96
b1461	NC_000913.3	1533052	1533285	+	234	3.25	4	5.50	11.72	6	13.97	8.27	3.53	8.39	5.56	4.11	19.06
